,Year,Gross domestic product in billion international dollars
0,2021*,35.07
1,2020*,32.26
2,2019*,30.97
3,2018,27.66
4,2017,24.86
5,2016,22.99
6,2015,21.47
7,2014,19.52
8,2013,18.05
9,2012,16.94
10,2011,15.3
11,2010,13.88
12,2009,12.79
13,2008,11.94
14,2007,10.54
15,2006,9.53
16,2005,8.47
17,2004,7.51
18,2003,6.81
19,2002,6.54
20,2001,5.69
21,2000,5.13
22,1999,4.63
23,1998,4.42
24,1997,4.03
25,1996,3.45
26,1995,3.04
27,1994,2.39
28,1993,4.02
29,1992,4.39
30,1991,4.02
31,1990,4.07
32,1989,3.9
33,1988,3.98
34,1987,3.84
35,1986,3.76
36,1985,3.49
37,1984,3.24
