,business,Percentage dividend yield
0,Repsol SA,12.84%
1,Bankia SA,12.35%
2,Sabadell SA,9.88%
3,Telefónica SA,9.73%
4,ACS SA,9.54%
5,Mediaset SA,9.41%
6,Naturgy SA,9.41%
7,Mapfre SA,8.7%
8,Enagas SA,8.59%
9,Endesa SA,7.9%
10,Acerinox SA,7.58%
11,Merlin Prop SA,6.98%
12,REE SA,6.63%
13,Bankinter SA,6.15%
14,BBVA SA,6.01%
15,Caixabank SA,5.5%
16,Santander SA,5.1%
17,CIE Automotive SA,4.74%
18,Iberdrola SA,4.67%
19,Accciona SA,4.24%
20,AENA SA,4.07%
21,Inditex SA,3.68%
22,Viscofan SA,3.26%
23,Ferrovial SA,3.2%
24,Ence SA,2.99%
25,Melia Hotels INTL SA,2.86%
26,Immobiliaria Colonial SA,2.76%
27,Grifols SA,1.37%
28,Amadeus IT Group SA,1.21%
29,Siemens Gamesa SA,0.18%
30,Cellnex Telecom SA,0.16%
31,Indra SA,0%
32,IAG (Iberia) SA,0%
33,Arcelormittal SA,0%
34,Técnicas Reunidas SA,0%
