,State,Total number
0,California,2500302
1,Texas,1860763
2,Florida,1392123
3,New York,1048281
4,Illinois,991719
5,Ohio,735003
6,Georgia,706154
7,Pennsylvania,678998
8,Tennessee,617649
9,North Carolina,575396
10,Arizona,567474
11,Michigan,546642
12,Indiana,533083
13,Wisconsin,531890
14,New Jersey,499636
15,Minnesota,425261
16,Missouri,416886
17,Massachusetts,397202
18,Alabama,379593
19,Virginia,371913
20,Colorado,346893
21,South Carolina,328073
22,Louisiana,326648
23,Oklahoma,308268
24,Maryland,289758
25,Utah,288951
26,Iowa,288300
27,Kentucky,280835
28,Washington,258767
29,Arkansas,238888
30,Nevada,235455
31,Kansas,233136
32,Mississippi,225444
33,Connecticut,196968
34,Nebraska,171033
35,New Mexico,148499
36,Idaho,144843
37,Oregon,119488
38,South Dakota,101076
39,Rhode Island,93852
40,North Dakota,93494
41,West Virginia,93162
42,Montana,83378
43,Puerto Rico,79612
44,Delaware,61100
45,Alaska,48560
46,New Hampshire,47992
47,Wyoming,45569
48,District of Columbia,30166
49,Maine,26565
50,Hawaii,22485
51,Vermont,8038
52,Guam,7378
53,US Virgin Islands,2083
54,Other,152
55,Northern Mariana Islands,124
