,Actor,Box office grosses in million U.S. dollars
0,Samuel L. Jackson,7107.8
1,Robert Downey Jr.,5818.8
2,Scarlett Johannsson,5244.1
3,Harrison Ford,5121.8
4,Tom Hanks,5039.3
5,Bradley Cooper,4803.8
6,Morgan Freeman,4631.0
7,Don Cheadle,4422.7
8,Andy Serkis,4357.7
9,Zoe Saldana,4193.6
10,Chris Pratt,4145.4
11,Anthony Daniels,4040.9
12,Chris Evans,4019.8
13,Chris Hemsworth,4018.8
14,Tom Cruise,3997.6
15,Idris Elba,3852.6
16,Johnny Depp,3846.8
17,Eddie Murphy,3811.1
18,Stanley Tucci,3778.2
19,Mark Ruffalo,3764.7
