,business,Indicator score from 1 (lowest) to 5 (highest)
0,GlaxoSmithKline plc,4.01
1,Novartis AG,3.21
2,Johnson & Johnson,3.05
3,Merck KGaA,2.9
4,Takeda Pharmaceutical Co.,2.75
5,Novo Nordisk A/S,2.68
6,Sanofi,2.49
7,Eisai Co. Ltd.,2.48
8,AstraZeneca plc,2.48
9,Roche Holding Ltd.,2.38
10,Pfizer Inc.,2.34
11,Merck & Co Inc.,2.32
12,Gilead Sciences,2.29
13,Boehringer-Ingelheim GmbH,2.11
14,Bristol-Meyers Squibb Co.,2.03
15,Bayer AG,1.88
16,AbbVie Inc.,1.88
17,Daiichi Sankyo Co. Ltd.,1.77
18,Astellas Pharma Inc.,1.46
19,Eli Lilly & Co.,1.27
