,Month,Consumer price index (CPI)
0,Sep '20,109.42
1,Aug '20,109.83
2,Jul '20,109.76
3,Jun '20,109.52
4,May '20,109.45
5,Apr '20,109.53
6,Mar '20,109.53
7,Feb '20,109.71
8,Jan '20,109.69
9,Dec '19,109.04
10,Nov '19,108.9
11,Oct' 19,108.83
12,Sep '19,108.44
13,Aug '19,108.94
14,Jul '19,108.96
15,Jun '19,108.87
16,May '19,108.93
17,Apr '19,108.91
18,Mar '19,108.85
19,Feb '19,108.52
20,Jan '19,108.17
21,Dec '18,108.22
22,Nov '18,108.48
23,Oct '18,108.31
24,Sep '18,107.58
25,Aug '18,107.58
26,Jul '18,107.43
27,Jun '18,107.02
28,May '18,106.91
29,Apr '18,106.69
30,Mar '18,106.37
31,Feb '18,106.22
32,Jan '18,106.06
