,Month,Daily share of people with COVID-19 disease
0,Mar 2,0%
1,Mar 03,4%
2,Mar 04,0%
3,Mar 05,0%
4,Mar 06,0%
5,Mar 07,2.34%
6,Mar 08,3.48%
7,Mar 09,0.41%
8,Mar 10,2.03%
9,Mar 11,10.4%
10,Mar 12,1.68%
11,Mar 13,2.3%
12,Mar 14,1.67%
13,Mar 15,0%
14,Mar 16,3.91%
15,Mar 17,2.54%
16,Mar 18,3.51%
17,Mar 19,3.89%
18,Mar 20,3.68%
19,Mar 21,4.4%
20,Mar 22,3.41%
21,Mar 23,4.51%
22,Mar 24,5.47%
23,Mar 25,3.86%
24,Mar 26,3.53%
25,Mar 27,4.17%
26,Mar 28,6.84%
27,Mar 29,4.92%
28,Mar 30,4.72%
29,Mar 31,4.91%
30,Apr 01,5.32%
31,Apr 02,8.96%
32,Apr 03,5.94%
33,Apr 04,4.21%
34,Apr 05,7.79%
35,Apr 06,4.91%
36,Apr 07,6.62%
37,Apr 08,4.1%
38,Apr 09,3.75%
39,Apr 10,3.07%
40,Apr 11,6.94%
41,Apr 12,4.59%
42,Apr 13,2.49%
43,Apr 14,4.39%
44,Apr 15,2.89%
45,Apr 16,4.19%
46,Apr 17,2.62%
47,Apr 18,4.61%
48,Apr 19,3.7%
49,Apr 20,2.81%
50,Apr 21,2.06%
51,Apr 22,2.62%
52,Apr 23,2.85%
53,Apr 24,2.23%
54,Apr 25,2.82%
55,Apr 26,5.07%
56,Apr 27,2.55%
57,Apr 28,2.37%
58,Apr 29,2.71%
59,Apr 30,1.95%
60,May 01,2.37%
61,May 02,3.2%
62,May 03,3.11%
63,May 04,2.91%
64,May 05,2.5%
65,May 06,1.62%
66,May 07,1.72%
67,May 08,1.8%
68,May 09,1.92%
69,May 10,2.69%
70,May 11,2.14%
71,May 12,2.46%
72,May 13,1.55%
73,May 14,1.74%
74,May 15,1.33%
75,May 16,1.11%
76,May 17,2.23%
77,May 18,1.94%
78,May 19,2.26%
79,May 20,1.85%
80,May 21,1.77%
81,May 22,1.46%
82,May 23,2.41%
83,May 24,1.68%
84,May 25,1.93%
85,May 26,1.89%
86,May 27,1.35%
87,May 28,1.36%
88,May 29,1.61%
89,May 30,1.88%
90,May 31,1.88%
91,Jun 01,1.97%
92,Jun 02,1.29%
93,Jun 03,0.95%
94,Jun 04,1.91%
95,Jun 05,2.11%
96,Jun 06,3.2%
97,Jun 07,3.69%
98,Jun 08,3.43%
99,Jun 09,1.37%
100,Jun 10,2.79%
101,Jun 11,1.71%
102,Jun 12,2.43%
103,Jun 13,1.91%
104,Jun 14,2.98%
105,Jun 15,2.13%
106,Jun 16,1.95%
107,Jun 17,1.32%
108,Jun 18,1.13%
109,Jun 19,1.34%
110,Jun 20,1.45%
111,Jun 21,2.09%
112,Jun 22,1.42%
113,Jun 23,1.31%
114,Jun 24,1.18%
115,Jun 25,1.24%
116,Jun 26,1.4%
117,Jun 27,0.8%
118,Jun 28,4.45%
119,Jun 29,1.09%
120,Jun 30,1.52%
121,Jul 01,1.6%
122,Jul 02,0.93%
123,Jul 03,1.39%
124,Jul 04,1.2%
125,Jul 05,1.26%
126,Jul 06,1.24%
127,Jul 07,1.37%
128,Jul 08,1.1%
129,Jul 09,1.09%
130,Jul 10,0.87%
131,Jul 11,2.06%
132,Jul 12,1.9%
133,Jul 13,1.22%
134,Jul 14,1.04%
135,Jul 15,1.31%
136,Jul 16,1.34%
137,Jul 17,1.38%
138,Jul 18,1.85%
139,Jul 19,1.8%
140,Jul 20,1.97%
141,Jul 21,1.49%
142,Jul 22,1.54%
143,Jul 23,1.89%
144,Jul 24,2.23%
145,Jul 25,2.18%
146,Jul 26,1.79%
147,Jul 27,2.21%
148,Jul 28,1.71%
149,Jul 29,2.67%
150,Jul 30,1.87%
151,Jul 31,2.32%
152,Aug 01,2.3%
153,Aug 02,3.23%
154,Aug 03,2.63%
155,Aug 04,1.9%
156,Aug 05,2.53%
157,Aug 06,2.48%
158,Aug 07,3.85%
159,Aug 08,3.06%
160,Aug 09,4.15%
161,Aug 10,2.38%
162,Aug 11,2.97%
163,Aug 12,3.1%
164,Aug 13,3.11%
165,Aug 14,3.13%
166,Aug 15,3.58%
167,Aug 16,4.52%
168,Aug 17,2.91%
169,Aug 18,2.56%
170,Aug 19,3%
171,Aug 20,3.04%
172,Aug 21,3.5%
173,Aug 22,2.96%
174,Aug 23,3.27%
175,Aug 24,3.44%
176,Aug 25,2.52%
177,Aug 26,3.14%
178,Aug 27,3.07%
179,Aug 28,3.47%
180,Aug 29,3.32%
181,Aug 30,4.02%
182,Aug 31,1.87%
183,Sep 01,1.74%
184,Sep 02,3.9%
185,Sep 03,3.07%
186,Sep 04,2.22%
187,Sep 05,2.35%
188,Sep 06,2.93%
189,Sep 07,2.13%
190,Sep 08,1.8%
191,Sep 09,2.71%
192,Sep 10,3.19%
193,Sep 11,2.85%
194,Sep 12,3.46%
195,Sep 13,2.98%
196,Sep 14,3.23%
197,Sep 15,2.74%
198,Sep 16,3.77%
199,Sep 17,3.6%
200,Sep 18,5%
201,Sep 19,4.79%
202,Sep 20,6.12%
203,Sep 21,3.15%
204,Sep 22,4.42%
205,Sep 23,4.79%
206,Sep 24,6.55%
207,Sep 25,6.8%
208,Sep 26,7.17%
209,Sep 27,9.7%
210,Sep 28,5.74%
211,Sep 29,5.54%
212,Sep 30,6.64%
213,Oct 01,7.98%
214,Oct 02,7.76%
215,Oct 03,7.45%
216,Oct 04,10.9%
217,Oct 05,9.3%
218,Oct 06,6.82%
219,Oct 07,9.7%
220,Oct 08,15.3%
221,Oct 09,18.7%
222,Oct 10,13.4%
223,Oct 11,17.5%
224,Oct 12,14.9%
225,Oct 13,14.8%
226,Oct 14,12.5%
227,Oct 15,15.1%
228,Oct 16,19.6%
229,Oct 17,22.8%
230,Oct 18,20.7%
231,Oct 19,22.3%
232,Oct 20,16.9%
233,Oct 21,24.1%
234,Oct 22,21.9%
235,Oct 23,24.6%
236,Oct 24,21.9%
237,Oct 25,20.3%
238,Oct 26,24.6%
239,Oct 27,31%
240,Oct 28,29.6%
241,Oct 29,27.7%
242,Oct 30,36.6%
243,Oct 31,34.3%
244,Nov 01,23.9%
245,Nov 02,29.4%
246,Nov 03,35.7%
247,Nov 04,40.4%
248,Nov 05,32.6%
249,Nov 06,41.7%
250,Nov 07,40.5%
251,Nov 08,49.9%
252,Nov 09,46.5%
253,Nov 10,47.3%
254,Nov 11,39.6%
255,Nov 12,41.7%
256,Nov 13,45.5%
257,Nov 14,46.8%
258,Nov 15,59.3%
259,Nov 16,45.6%
260,Nov 17,34.8%
261,Nov 18,41.3%
262,Nov 19,40.8%
263,Nov 20,55.1%
264,Nov 21,43%
265,Nov 22,54.5%
266,Nov 23,30%
267,Nov 24,31.7%
268,Nov 25,37%
269,Nov 26,36.8%
270,Nov 27,36%
271,Nov 28,46.6%
272,Nov 29,22.7%
273,Nov 30,23.7%
274,Dec 01,32.8%
275,Dec 02,38.6%
276,Dec 03,32.4%
277,Dec 04,34.7%
278,Dec 05,38.4%
279,Dec 06,21.8%
280,Dec 07,27.5%
281,Dec 08,29.5%
282,Dec 09,35.7%
283,Dec 10,38.5%
284,Dec 11,34.4%
285,Dec 12,40.6%
286,Dec 13,24.5%
287,Dec 14,22.5%
288,Dec 15,29.5%
289,Dec 16,32.2%
290,Dec 17,32.4%
291,Dec 18,37.1%
292,Dec 19,38.7%
293,Dec 20,23.6%
294,Dec 21,24%
295,Dec 22,35.2%
296,Dec 23,36.7%
297,Dec 24,43.2%
298,Dec 25,34.6%
299,Dec 26,25.7%
300,Dec 27,19.3%
301,Dec 28,23.5%
302,Dec 29,34%
303,Dec 30,24.9%
304,Dec 31,23.5%
305,Jan 01 '21,25.1%
306,Jan 02 '21,19.3%
307,Jan 03 '21,17.4%
308,Jan 04 '21,15.7%
309,Jan 05 '21,22.9%
310,Jan 06 '21,25.7%
