,Country,GCI Score,Legal,Technical,Organizational,Capacity Building,Cooperation
0,United Kingdom,0.93,0.2,0.19,0.2,0.19,0.15
1,United States,0.93,0.2,0.18,0.2,0.19,0.15
2,France,0.92,0.2,0.19,0.2,0.19,0.14
3,Lithuania,0.91,0.2,0.17,0.2,0.19,0.16
4,Estonia,0.91,0.2,0.2,0.19,0.17,0.15
5,Singapore,0.9,0.2,0.19,0.19,0.2,0.13
6,Spain,0.9,0.2,0.18,0.2,0.17,0.15
7,Malaysia,0.89,0.18,0.2,0.2,0.2,0.12
8,Norway,0.89,0.19,0.2,0.18,0.19,0.14
9,Canada,0.89,0.2,0.19,0.2,0.17,0.14
10,Australia,0.89,0.2,0.17,0.2,0.18,0.14
