,Month,Android,BlackBerry,iOS,Windows,Other
0,Dec '18,52.8%,0%,46.4%,0%,0.8%
1,Nov '18,57.1%,0%,41.9%,0%,1%
2,Oct '18,60.8%,0%,38.4%,0%,0.8%
3,Sep '18,70.6%,0%,28.2%,0%,1.2%
4,Aug '18,67.7%,0%,30.7%,0%,1.6%
5,Jul '18,60.8%,0%,37.6%,0%,1.6%
6,Jun '18,55.8%,0.2%,42.9%,0.1%,1%
7,May '18,51.6%,0.1%,47.5%,0.1%,0.7%
8,Apr '18,55.7%,0.1%,43.9%,0.1%,0.2%
9,Mar '18,54.8%,0%,44.8%,0.1%,0.3%
10,Feb '18,52.8%,0%,47%,0.1%,0.1%
11,Jan '18,48.7%,0%,51.1%,0.1%,0.1%
12,Dec '17,44.8%,0%,55.2%,0%,0%
13,Nov '17,48.4%,0%,51.5%,0%,0.1%
14,Oct '17,55%,0%,44.8%,0.1%,0.1%
15,Sept '17,66.5%,0.3%,33%,0.1%,0.1%
16,Aug '17,67.4%,0.3%,31.8%,0.4%,0.1%
17,Jul '17,61.4%,0.3%,37.9%,0.3%,0.2%
18,Jun '17,55%,-,44.6%,0.3%,0.2%
19,May '17,50.9%,-,48.4%,-,0.6%
20,Apr '17,55.9%,-,43.5%,-,0.5%
21,Mar '17,53.1%,-,45.1%,1.2%,0.5%
22,Feb '17,53.9%,-,44.8%,1.3%,-
23,Jan '17,49%,-,49.5%,1.5%,-
24,Dec '16,44.8%,0.3%,54.7%,0.2%,-
25,Nov '16,42.3%,0.3%,57%,0.4%,-
26,Oct '16,47.5%,-,51.7%,0.2%,0.3%
27,Sep '16,61.7%,-,37.4%,0.5%,0.3%
28,Aug '16,66.7%,-,31.9%,0.6%,0.8%
29,Jul '16,64.6%,-,34.1%,0.6%,0.6%
30,Jun '16,61%,0.2%,38%,0.3%,0.6%
31,May '16,58.8%,0.2%,40.6%,0.1%,0.3%
32,Apr '16,55.7%,0.3%,43.2%,0.1%,0.7%
33,Mar '16,51.7%,0.1%,46.8%,0.5%,0.9%
34,Feb '16,48.2%,0.1%,50.2%,0.5%,0.9%
35,Jan '16,48.7%,0%,50.3%,0.5%,0.5%
36,Dec '15,44.4%,1.2%,54.1%,0%,0.3%
37,Nov '15,44.7%,1.2%,53.7%,0.3%,0.2%
38,Oct '15,47.7%,-,50.3%,0.4%,1.6%
39,Sep '15,60.7%,-,38.3%,0.5%,0.5%
40,Aug '15,64.5%,0.9%,33.8%,0.3%,0.5%
41,Jul '15,62.9%,0.9%,35.1%,0.1%,0.9%
42,Jun '15,54.4%,0.9%,42.2%,-,2.5%
43,May '15,52.6%,0.1%,44.6%,0.1%,2.6%
44,Apr '15,51.6%,-,45.6%,0.2%,2.6%
45,Mar '15,52.3%,0.7%,45.1%,0.4%,1.4%
46,Feb '15,47.9%,0.7%,49.8%,0.3%,1.3%
47,Jan '15,45.4%,0.7%,52.4%,0.2%,1.3%
48,Dec '14,38.3%,0.1%,60.2%,0%,1.4%
49,Nov '14,42.4%,0.2%,53.8%,0.4%,0.2%
50,Oct '14,48.1%,0.6%,48%,0.5%,2.8%
51,Sep '14,64.5%,0.5%,31.3%,0.9%,2.7%
52,Aug '14,70.2%,0.5%,27.1%,0.9%,1.4%
53,Jul '14,69.3%,0%,28.8%,1.1%,0.8%
54,Jun '14,58.8%,0%,39.5%,0.9%,0.8%
55,May '14,47%,0%,51.7%,1.4%,0%
56,Apr '14,43.6%,9%,58.4%,1%,0%
57,Mar '14,41.5%,0%,57.6%,0.9%,0%
58,Feb '14,44.8%,0%,54.9%,0.2%,0.1%
59,Jan '14,39.6%,0%,59.7%,0%,0.7%
60,Dec '13,30.5%,0%,68.7%,0%,0.8%
61,Nov '13,30%,0.1%,69.1%,0%,0.8%
62,Oct '13,36.2%,0.3%,61.1%,0.4%,1.9%
63,Sep '13,50%,0.4%,47.2%,0.7%,1.7%
64,Aug '13,52.3%,0.3%,44.5%,0.7%,2.3%
65,Jul '13,50%,0%,49.1%,0.2%,0.8%
66,Jun '13,44.6%,0%,53.7%,0.3%,1.5%
67,May '13,46.5%,0.7%,49.6%,0.5%,2.6%
68,Apr '13,44.4%,0.8%,49.8%,0.6%,4.4%
69,Mar '13,46%,0.7%,49%,0.3%,3.9%
70,Feb '13,43.6%,0%,52.9%,0.4%,3.1%
71,Jan '13,41.9%,0.4%,56%,0.6%,1.1%
