,Race,Great Britain,World
0,Queen Elizabeth,32%,23%
1,Prince Harry,42%,23%
2,The Duchess of Cambridge,27%,18%
3,"The Duke of Cambridge, Prince William",30%,17%
4,Prince George,12%,10%
5,Princess Charlotte,11%,9%
6,"The Prince of Wales, Prince Charles",9%,8%
7,Meghan Markle,14%,8%
8,Prince Philip,15%,5%
9,Princess Anne,10%,5%
10,"The Duke of York, Prince Andrew",2%,3%
11,Princess Beatrice,2%,3%
12,Princess Eugenie,2%,3%
13,"The Earl of Wessex, Prince Edward",3%,3%
14,The Duchess of Cornwall,3%,2%
15,Other,1%,1%
16,None,22%,24%
17,Don't Know,8%,18%
