,State / Territory,"Reported violent crime rate per 100,000 population"
0,District of Columbia,995.9
1,Alaska,885.0
2,New Mexico,856.6
3,Tennessee,623.7
4,Arkansas,543.6
5,Nevada,541.1
6,Louisiana,537.5
7,Alabama,519.6
8,Missouri,502.1
9,South Carolina,488.3
10,Arizona,474.9
11,Maryland,468.7
12,Oklahoma,466.1
13,Michigan,449.4
14,California,447.4
15,Kansas,439.0
16,Delaware,423.6
17,Texas,410.9
18,South Dakota,404.7
19,Illinois,404.1
20,Colorado,397.2
21,Florida,384.9
22,Indiana,382.3
23,North Carolina,377.6
24,Montana,374.1
25,New York,350.5
26,Massachusetts,338.1
27,Georgia,326.6
28,Virginia,311.5
29,Pennsylvania,306.0
30,West Virginia,295.4
31,Washington,289.9
32,Oregon,285.5
33,Nebraska,284.8
34,North Dakota,280.6
35,Ohio,279.9
36,Iowa,250.1
37,Hawaii,248.6
38,Wyoming,237.5
39,Mississippi,234.4
40,United States,233.1
41,Idaho,227.1
42,Minnesota,220.4
43,Rhode Island,219.1
44,Wisconsin,212.2
45,Kentucky,211.9
46,New Jersey,208.1
47,Connecticut,207.4
48,Vermont,200.0
49,New Hampshire,173.2
50,Utah,172.0
51,Maine,112.1
