,Product name (company),Revenue in million U.S. dollars
0,Prolia (Amgen),1049
1,Premarin (Pfizer),956
2,Mirena (Bayer),776
3,Forteo (Eli Lilly),771
4,NuvaRing (Merck),576
5,Nexplanon (Merck),420
6,Lo Loestrin Fe (Allergan),404
7,Estrace Cream (Allergan),379
8,Makena (AMAG Pharm.),334
9,Minastrin 24 FE (Allergan),326
10,Vagifem (Novo Nordisk),302
11,Lupron (AbbVie),285
12,Gonal-F (Merck KGaA),221
13,Follistim (Merck),157
14,Yasmin (Bayer),142
15,Oral contrception franchise (J&J/Pfizer),129
16,Natazia (Bayer),104
17,Minivelle (Hisamitsu),88
18,Caltrate (Pfizer),87
19,Junel/Loestrin (Teva),79
