,Year,GDP per capita in U.S. dollars
0,2024*,23985.55
1,2023*,23401.28
2,2022*,22924.51
3,2021*,22569.95
4,2020*,22533.26
5,2019*,22865.18
6,2018*,23538.94
7,2017,21113.96
8,2016,20288.92
9,2015,21063.31
10,2014,24929.32
11,2013,24892.99
12,2012,25208.16
13,2011,23654.87
14,2010,19163.34
15,2009,16094.68
16,2008,20157.3
17,2007,16666.63
18,2006,15603.99
19,2005,14068.22
20,2004,11467.1
21,2003,9800.53
22,2002,8822.51
23,2001,8778.39
24,2000,9256.54
25,1999,8092.7
26,1998,7525.3
27,1997,8706.35
28,1996,8527.67
29,1995,7893.42
30,1994,7626.36
31,1993,7686.01
32,1992,8077.77
33,1991,8280.18
34,1990,7734.98
35,1989,6583.29
36,1988,6398.84
37,1987,6524.16
38,1986,6955.05
39,1985,8732.74
40,1984,10558.77
