,Metropolitan Statistical Area,"Violent crime rate per 100,000 inhabitnats"
0,"Anchorage, AK",1263.6
1,"Farmington, NM",1199.8
2,"Memphis, TN-MS-AR",1142.5
3,"Albuquerque, NM",1084.7
4,"Detroit-Dearborn-Livonia, MI",1001.8
5,"Danville, IL",931.9
6,"Pine Bluff, AR",880.4
7,"Hammond, LA",849.1
8,"Lubbock, TX",829.3
9,"Wichita, KS",826.0
10,"Stockton, CA",795.1
11,"Alexandria, LA",775.3
12,"Philadelphia, PA",763.7
13,"Odessa, TX",760.6
14,"Florence, SC",748.2
15,"Rockford, IL",742.6
16,"Little Rock-North Little Rock-Conway, AR",738.1
17,"Albany, GA",728.5
18,"Anniston-Oxford, AL",726.0
19,"Monroe, LA",724.6
20,"Baltimore-Columbia-Towson, MD",720.8
21,"Gainesville, FL",713.3
22,"Corpus Christi, TX",699.3
23,"Lawton, OK",695.1
24,"Pueblo, CO",693.4
25,"Flint, MI",683.2
26,"Sumter, SC",679.0
27,"Battle Creek, MI",666.5
28,"Saginaw, MI",661.0
29,"Amarillo, TX2",660.4
30,"Redding, CA",650.1
31,"Indianapolis-Carmel-Anderson, IN",641.5
32,"Fairbanks, AK",625.5
33,"Milwaukee-Waukesha, WI",609.7
34,"Jackson, TN",608.6
35,"Shreveport-Bossier City, LA",602.8
36,"Dothan, AL",602.0
37,"Nashville-Davidson–Murfreesboro–Franklin, TN",599.1
38,"Springfield, IL",596.0
39,"Fresno, CA",595.3
40,"Kalamazoo-Portage, MI",592.5
41,"Bakersfield, CA",591.7
42,"Los Angeles-Long Beach-Glendale, CA",577.9
43,"Modesto, CA",576.2
44,"Madera, CA",572.4
45,"Columbia, SC",567.9
46,"Merced, CA",567.2
47,"Tulsa, OK",564.8
48,"New Orleans-Metairie, LA",563.8
49,"Springfield, MO",562.6
