,Year,Box office gross in billion U.S. dollars
0,1980,2.75
1,1981,2.97
2,1982,3.45
3,1983,3.77
4,1984,4.03
5,1985,3.75
6,1986,3.78
7,1987,4.25
8,1988,4.46
9,1989,5.03
10,1990,5.02
11,1991,4.8
12,1992,4.87
13,1993,5.15
14,1994,5.4
15,1995,5.49
16,1996,5.91
17,1997,6.37
18,1998,6.95
19,1999,7.45
20,2000,7.66
21,2001,8.41
22,2002,9.16
23,2003,9.24
24,2004,9.38
25,2005,8.84
26,2006,9.21
27,2007,9.66
28,2008,9.63
29,2009,10.6
30,2010,10.57
31,2011,10.17
32,2012,10.84
33,2013,10.92
34,2014,10.36
35,2015,11.13
36,2016,11.38
37,2017,11.07
38,2018,11.89
39,2019,11.32
