,Month,Amounts outstanding in million GBP
0,Dec '19,82648
1,Nov '19,82820
2,Oct '19,82980
3,Sep '19,82933
4,Aug '19,82920
5,Jul '19,82806
6,Jun '19,82764
7,May '19,82649
8,Apr '19,82546
9,Mar '19,82536
10,Feb '19,82471
11,Jan '19,82318
12,Dec '18,82117
13,Nov '18,81945
14,Oct '18,81817
15,Sep '18,81812
16,Aug '18,81704
17,Jul '18,81698
18,Jun '18,81637
19,May '18,81561
20,Apr '18,81503
21,Mar '18,81345
22,Feb '18,81610
23,Jan '18,81804
24,Dec '17,81938
25,Nov '17,82069
26,Oct '17,82139
27,Sep '17,82114
28,Aug '17,82088
29,Jul '17,82132
30,Jun '17,82156
31,May '17,82170
32,Apr '17,82037
33,Mar '17,81627
34,Feb '17,81526
35,Jan '17,81210
