,Month,Price in GBP per kilogram
0,Nov '19,0.97
1,Oct '19,1.01
2,Sep '19,1.14
3,Aug '19,1.38
4,Jul '19,1.76
5,Jun '19,1.03
6,May '19,0.98
7,Apr '19,0.96
8,Mar '19,0.92
9,Feb '19,0.98
10,Jan '19,1.05
11,Dec '18,1.12
12,Nov '18,1.29
13,Oct '18,1.31
14,Sep '18,1.36
15,Aug '18,1.44
16,Jul '18,1.15
17,Jun '18,0.77
18,May '18,0.71
19,Apr '18,0.78
20,Mar '18,0.77
21,Feb '18,0.8
22,Jan '18,0.83
23,Dec '17,0.84
24,Nov '17,0.92
25,Oct '17,0.83
26,Sep '17,0.95
27,Aug '17,1.05
28,Jul '17,1.17
29,Jun '17,0.97
30,May '17,0.94
31,Apr '17,0.92
32,Mar '17,0.92
33,Feb '17,0.94
34,Jan '17,0.97
35,Dec '16,0.97
36,Nov '16,1.0
37,Oct '16,0.98
38,Sep '16,1.21
39,Aug '16,1.51
40,Jul '16,1.59
41,Jun '16,1.06
42,May '16,1.17
43,Apr '16,0.92
44,Mar '16,0.86
45,Feb '16,0.86
46,Jan '16,0.86
47,Dec '15,0.89
48,Nov '15,0.93
49,Oct '15,1.04
50,Sep '15,1.1
51,Aug '15,1.14
52,Jul '15,0.96
53,Jun '15,0.82
54,May '15,0.76
55,Apr '15,0.78
56,Mar '15,0.77
57,Feb '15,0.8
58,Jan '15,0.78
