,Month,Number of cases
0,"Nov 25, 2020",5312
1,"Nov 24, 2020",5298
2,"Nov 23, 2020",5289
3,"Nov 22, 2020",5277
4,"Nov 21, 2020",5269
5,"Nov 20, 2020",5251
6,"Nov 19, 2020",5231
7,"Nov 18, 2020",5226
8,"Nov 17, 2020",5215
9,"Nov 16, 2020",5205
10,"Nov 15, 2020",5189
11,"Nov 14, 2020",5186
12,"Nov 13, 2020",5170
13,"Nov 12, 2020",5160
14,"Nov 11, 2020",5142
15,"Nov 10, 2020",5114
16,"Nov 9, 2020",5101
17,"Nov 8, 2020",5078
18,"Nov 7, 2020",5078
19,"Nov 6, 2020",5063
20,"Nov 5, 2020",5039
21,"Nov 4, 2020",5017
22,"Nov 3, 2020",4989
23,"Nov 2, 2020",4958
24,"Nov 1, 2020",4930
25,"Oct 31, 2020",4898
26,"Oct 30, 2020",4870
27,"Oct 29, 2020",4810
28,"Oct 28, 2020",4733
29,"Oct 27, 2020",4691
30,"Oct 26, 2020",4589
31,"Oct 25, 2020",4522
32,"Oct 24, 2020",4458
33,"Oct 23, 2020",4398
34,"Oct 22, 2020",4321
35,"Oct 21, 2020",4285
36,"Oct 20, 2020",4236
37,"Oct 19, 2020",4191
38,"Oct 18, 2020",4121
39,"Oct 17, 2020",4059
40,"Oct 16, 2020",4003
41,"Oct 15, 2020",3931
42,"Oct 14, 2020",3864
43,"Oct 13, 2020",3766
44,"Oct 12, 2020",3676
45,"Oct 11, 2020",3554
46,"Oct 10, 2020",3502
47,"Oct 9, 2020",3442
48,"Oct 8, 2020",3349
49,"Oct 7, 2020",3247
50,"Oct 6, 2020",3146
51,"Oct 5, 2020",3059
52,"Oct 4, 2020",2960
53,"Oct 3, 2020",2897
54,"Oct 2, 2020",2848
55,"Oct 1, 2020",2786
56,"Sep 30, 2020",2745
57,"Sep 29, 2020",2705
58,"Sep 28, 2020",2672
59,"Sep 27, 2020",2640
60,"Sep 26, 2020",2598
61,"Sep 25, 2020",2576
62,"Sep 24, 2020",2536
63,"Sep 23, 2020",2490
64,"Sep 22, 2020",2454
65,"Sep 21, 2020",2396
66,"Sep 20, 2020",2359
67,"Sep 19, 2020",2327
68,"Sep 18, 2020",2288
69,"Sep 17, 2020",2213
70,"Sep 16, 2020",2192
71,"Sep 15, 2020",2170
72,"Sep 14, 2020",2157
73,"Sep 13, 2020",2150
74,"Sep 12, 2020",2147
75,"Sep 11, 2020",2145
76,"Sep 10, 2020",2144
77,"Sep 9, 2020",2143
78,"Sep 8, 2020",2138
79,"Sep 7, 2020",2133
80,"Sep 6, 2020",2126
81,"Sep 5, 2020",2124
82,"Sep 4, 2020",2121
83,"Sep 3, 2020",2120
84,"Sep 2, 2020",2114
85,"Sep 1, 2020",2110
86,"Aug 31, 2020",2100
87,"Aug 30, 2020",2095
88,"Aug 29, 2020",2094
89,"Aug 28, 2020",2089
90,"Aug 27, 2020",2081
91,"Aug 26, 2020",2078
92,"Aug 25, 2020",2071
93,"Aug 24, 2020",2064
94,"Aug 23, 2020",2061
95,"Aug 22, 2020",2054
96,"Aug 21, 2020",2049
97,"Aug 20, 2020",2038
98,"Aug 19, 2020",2027
99,"Aug 18, 2020",2024
100,"Aug 17, 2020",2019
101,"Aug 16, 2020",2014
102,"Aug 15, 2020",2005
103,"Aug 14, 2020",1995
104,"Aug 13, 2020",1988
105,"Aug 12, 2020",1980
106,"Aug 11, 2020",1970
107,"Aug 10, 2020",1966
108,"Aug 9, 2020",1961
109,"Aug 8, 2020",1957
110,"Aug 7, 2020",1953
111,"Aug 6, 2020",1948
112,"Aug 5, 2020",1930
113,"Aug 4, 2020",1926
114,"Aug 3, 2020",1917
115,"Aug 2, 2020",1914
116,"Aug 1, 2020",1906
117,"Jul 31, 2020",1893
118,"Jul 30, 2020",1885
119,"Jul 29, 2020",1874
120,"Jul 28, 2020",1862
121,"Jul 27, 2020",1858
122,"Jul 26, 2020",1854
123,"Jul 25, 2020",1848
124,"Jul 24, 2020",1844
125,"Jul 23, 2020",1843
126,"Jul 22, 2020",1841
127,"Jul 21, 2020",1840
128,"Jul 20, 2020",1840
129,"Jul 19, 2020",1839
130,"Jul 18, 2020",1838
131,"Jul 17, 2020",1836
132,"Jul 16, 2020",1836
133,"Jul 15, 2020",1835
134,"Jul 14, 2020",1835
135,"Jul 13, 2020",1833
136,"Jul 12, 2020",1833
137,"Jul 11, 2020",1833
138,"Jul 10, 2020",1833
139,"Jul 09, 2020",1833
140,"Jul 08, 2020",1833
141,"Jul 07, 2020",1833
142,"Jul 06, 2020",1832
143,"Jul 05, 2020",1830
144,"Jul 04, 2020",1830
145,"Jul 03, 2020",1830
146,"Jul 02, 2020",1830
147,"Jul 01, 2020",1825
148,"Jun 30, 2020",1824
149,"Jun 29, 2020",1822
150,"Jun 28, 2020",1821
151,"Jun 27, 2020",1820
152,"Jun 26, 2020",1820
153,"Jun 25, 2020",1818
154,"Jun 24, 2020",1817
155,"Jun 23, 2020",1815
156,"Jun 22, 2020",1815
157,"Jun 21, 2020",1815
158,"Jun 20, 2020",1815
159,"Jun 19, 2020",1815
160,"Jun 18, 2020",1814
161,"Jun 17, 2020",1812
162,"Jun 16, 2020",1812
163,"Jun 15, 2020",1811
164,"Jun 14, 2020",1810
165,"Jun 13, 2020",1810
166,"Jun 12, 2020",1808
167,"Jun 11, 2020",1807
168,"Jun 10, 2020",1807
169,"Jun 09, 2020",1807
170,"Jun 08, 2020",1807
171,"Jun 07, 2020",1807
172,"Jun 06, 2020",1807
173,"Jun 05, 2020",1807
174,"Jun 04, 2020",1806
175,"Jun 03, 2020",1806
176,"Jun 02, 2020",1806
177,"Jun 01, 2020",1806
178,"May 31, 2020",1806
179,"May 30, 2020",1806
180,"May 29, 2020",1806
181,"May 28, 2020",1805
182,"May 27, 2020",1805
183,"May 26, 2020",1805
184,"May 25, 2020",1804
185,"May 24, 2020",1804
186,"May 23, 2020",1804
187,"May 22, 2020",1804
188,"May 21, 2020",1803
189,"May 20, 2020",1803
190,"May 19, 2020",1803
191,"May 18, 2020",1802
192,"May 17, 2020",1802
193,"May 16, 2020",1802
194,"May 15, 2020",1802
195,"May 14, 2020",1802
196,"May 13, 2020",1802
197,"May 12, 2020",1802
198,"May 11, 2020",1801
199,"May 10, 2020",1801
200,"May 09, 2020",1801
201,"May 08, 2020",1801
202,"May 07, 2020",1801
203,"May 06, 2020",1801
204,"May 05, 2020",1799
205,"May 04, 2020",1799
206,"May 03, 2020",1799
207,"May 02, 2020",1799
208,"May 01, 2020",1798
209,"Apr 30, 2020",1798
210,"Apr 29, 2020",1797
211,"Apr 28, 2020",1797
212,"Apr 27, 2020",1795
213,"Apr 26, 2020",1792
214,"Apr 25, 2020",1792
215,"Apr 24, 2020",1790
216,"Apr 23, 2020",1789
217,"Apr 22, 2020",1789
218,"Apr 21, 2020",1785
219,"Apr 20, 2020",1778
220,"Apr 19, 2020",1773
221,"Apr 18, 2020",1771
222,"Apr 17, 2020",1760
223,"Apr 16, 2020",1754
224,"Apr 15, 2020",1739
225,"Apr 14, 2020",1727
226,"Apr 13, 2020",1720
227,"Apr 12, 2020",1711
228,"Apr 11, 2020",1701
229,"Apr 10, 2020",1689
230,"Apr 09, 2020",1675
231,"Apr 08, 2020",1648
232,"Apr 07, 2020",1616
233,"Apr 06, 2020",1586
234,"Apr 05, 2020",1562
235,"Apr 04, 2020",1488
236,"Apr 03, 2020",1418
237,"Apr 02, 2020",1364
238,"Apr 01, 2020",1319
239,"Mar 31, 2020",1220
240,"Mar 30, 2020",1137
241,"Mar 29, 2020",1086
242,"Mar 28, 2020",1020
243,"Mar 27, 2020",964
244,"Mar 26, 2020",893
245,"Mar 25, 2020",806
246,"Mar 24, 2020",764
247,"Mar 23, 2020",658
248,"Mar 22, 2020",591
249,"Mar 21, 2020",569
250,"Mar 20, 2020",477
251,"Mar 19, 2020",417
252,"Mar 18, 2020",339
253,"Mar 17, 2020",262
254,"Mar 16, 2020",209
255,"Mar 15, 2020",186
256,"Mar 14, 2020",166
257,"Mar 13, 2020",142
258,"Mar 12, 2020",122
259,"Mar 11, 2020",106
260,"Mar 10, 2020",82
261,"Mar 09, 2020",68
262,"Mar 08, 2020",59
263,"Mar 07, 2020",54
264,"Mar 06, 2020",47
265,"Mar 05, 2020",37
266,"Mar 04, 2020",29
267,"Mar 03, 2020",15
268,"Mar 02, 2020",10
269,"Mar 01, 2020",4
270,"Feb 29, 2020",1
271,"Feb 28, 2020",1
