,Year,Gross domestic product in billion U.S. dollars
0,2024*,579.62
1,2023*,557.18
2,2022*,518.66
3,2021*,481.84
4,2020*,443.25
5,2019*,445.47
6,2018,519.49
7,2017,642.93
8,2016,556.77
9,2015,642.46
10,2014,563.61
11,2013,611.47
12,2012,579.67
13,2011,527.64
14,2010,424.73
15,2009,334.63
16,2008,363.55
17,2007,287.92
18,2006,232.89
19,2005,199.27
20,2004,164.92
21,2003,138.15
22,2002,108.73
23,2001,291.74
24,2000,308.49
25,1999,307.67
26,1998,324.24
27,1997,317.55
28,1996,295.12
29,1995,280.08
30,1994,279.15
31,1993,256.37
32,1992,247.99
33,1991,205.52
34,1990,153.21
35,1989,88.57
36,1988,138.04
37,1987,117.85
38,1986,114.95
39,1985,95.59
40,1984,126.56
