,State,Juvenile arrest rate
0,Illinois,451
1,Delaware,372
2,Maryland,330
3,Nevada,293
4,Pennsylvania,261
5,Tennessee,255
6,Alaska,254
7,Florida,247
8,Wisconsin,236
9,Louisiana,204
10,California,194
11,New Jersey,178
12,New York,174
13,Missouri,172
14,Massachusetts,170
15,United States,166
16,Indiana,163
17,Hawaii,161
18,Minnesota,159
19,Iowa,154
20,Georgia,150
21,North Carolina,149
22,New Mexico,146
23,Connecticut,137
24,Washington,136
25,South Carolina,135
26,Nebraska,132
27,Arkansas,121
28,Arizona,120
29,Oklahoma,117
30,Michigan,116
31,Oregon,112
32,Ohio,109
33,Texas,108
34,Kansas,105
35,Colorado,101
36,Rhode Island,98
37,South Dakota,94
38,Virginia,85
39,Kentucky,82
40,Mississippi,81
41,Montana,81
42,New Hampshire,80
43,North Dakota,71
44,Utah,69
45,Wyoming,63
46,Vermont,60
47,Idaho,58
48,Maine,46
49,West Virginia,45
50,Alabama,34
