,Year,High school graduate or more,College graduate or more
0,2018,89.8%,35%
1,2017,89.6%,34.2%
2,2016,89.1%,33.4%
3,2015,88.4%,32.5%
4,2014,88.3%,32%
5,2013,88.2%,31.7%
6,2012,87.6%,30.9%
7,2011,87.6%,30.4%
8,2010,87.1%,29.9%
9,2009,86.7%,29.5%
10,2008,86.6%,29.4%
11,2007,85.7%,28.7%
12,2006,85.5%,28%
13,2005,85.2%,27.7%
14,2004,85.2%,27.7%
15,2003,84.6%,27.2%
16,2002,84.1%,26.7%
17,2001,84.1%,26.2%
18,2000,84.1%,25.6%
19,1999,83.4%,25.2%
20,1998,82.8%,24.4%
21,1997,82.1%,23.9%
22,1996,81.7%,23.6%
23,1995,81.7%,23%
24,1994,80.9%,22.2%
25,1993,80.2%,21.9%
26,1992,79.4%,21.4%
27,1991,78.4%,21.4%
28,1990,77.6%,21.3%
29,1985,73.9%,19.4%
30,1980,66.5%,16.2%
31,1975,62.5%,13.9%
32,1970,52.3%,10.7%
33,1965,49%,9.4%
34,1960,41.1%,7.7%
