,Year,"Deaths per 1,000 live births"
0,2020,7.0
1,2015,7.0
2,2010,8.0
3,2005,8.0
4,2000,9.0
5,1995,10.0
6,1990,12.0
7,1985,14.0
8,1980,17.0
9,1975,21.0
10,1970,26.0
11,1965,29.0
12,1960,31.0
13,1955,35.0
14,1950,40.11
15,1945,51.26
16,1940,66.35
17,1935,75.93
18,1930,102.86
19,1925,139.79
20,1920,184.93
21,1915,179.99
22,1910,206.92
23,1905,220.32
24,1900,238.76
25,1895,256.72
26,1890,281.68
27,1885,327.29
28,1880,347.49
29,1875,325.81
30,1870,316.5
31,1865,325.74
32,1860,343.53
33,1855,374.17
34,1850,399.27
35,1845,416.08
36,1840,430.12
37,1835,440.01
38,1830,447.87
39,1825,452.68
40,1820,456.65
41,1815,459.34
42,1810,461.35
43,1805,462.31
44,1800,462.89
