,Community,Male,Female
0,Andalusia,4168901,4277660
1,Catalonia,3721783,3887716
2,Community of Madrid,3205259,3480212
3,Region of Valencia,2462321,2536390
4,Galicia,1302611,1396153
5,Castile and Leon,1186138,1216739
6,Basque Country,1055722,1126196
7,Canary Islands,1100985,1119285
8,Castile-La Mancha,1023105,1015335
9,Murcia,747648,746793
10,Aragon,653825,670571
11,Balearic Islands,599693,598883
12,Extremadura,527492,535306
13,Asturias,487643,532350
14,Navarre,322403,330124
15,Cantabria,283599,298350
16,La Rioja,154979,159508
17,Ceuta,42785,41649
18,Melilla,42498,41788
