,Month,Situation A,Situation B
0,Luiz Inácio Lula da Silva (PT),39%,-
1,Jair Bolsonaro (PSL),19%,-
2,Marina Silva (REDE),8%,-
3,Geraldo Alckmin (PSDB),6%,-
4,Ciro Gomes (PDT),5%,-
5,Alvaro Dias (PODE),3%,-
6,João Amoedo (NOVO),2%,-
7,Henrique Meirelles (MDB),1%,-
8,Guilherme Boulos (PSOL),1%,-
9,Cabo Daciolo (PATRI),1%,-
10,Vera Lúcia (PSTU),1%,-
11,João Goulart Filho (PPL),0%,-
12,José Maria Eymael (DC),0%,-
13,Blank or voided ballots / No vote,11%,-
14,Do not know,3%,-
15,Jair Bolsonaro,-,22%
16,Marina Silva,-,16%
17,Ciro Gomes,-,10%
18,Geraldo Alckmin,-,9%
19,Alvaro Dias,-,4%
20,Fernando Haddad (PT),-,4%
21,João Amoedo,-,2%
22,Henrique Meirelles,-,2%
23,Vera Lúcia,-,1%
24,Cabo Daciolo,-,1%
25,Guilherme Boulos,-,1%
26,João Goulart Filho,-,1%
27,José Maria Eymael,-,0%
28,Blank or voided ballots/No vote,-,22%
29,Don't know,-,6%
