,Country,Employment rate
0,Iceland,83.8%
1,Switzerland,80.5%
2,Netherlands,78.2%
3,Japan,77.6%
4,New Zealand,77.4%
5,Sweden,77.1%
6,Germany,76.7%
7,United Kingdom,75.6%
8,Norway,75.3%
9,Denmark,75.2%
10,Estonia,75.2%
11,Czech Republic,75.1%
12,Canada,74.4%
13,Australia,74.3%
14,Austria,73.6%
15,Finland,73.1%
16,Lithuania,73%
17,Latvia,72.3%
18,Slovenia,71.8%
19,United States,71.4%
20,Portugal,70.5%
21,Hungary,70.1%
22,Ireland,69.8%
23,Israel,68.9%
24,OECD average,68.8%
25,Slovak Republic,68.4%
26,Poland,68.2%
27,Luxembourg,67.9%
28,Korea,66.8%
29,France,65.5%
30,Belgium,65.3%
31,Spain,64.3%
32,Chile,62.4%
33,Mexico,62.2%
34,Italy,59%
35,Greece,56.5%
36,Turkey,50.3%
