,Players,Market value in million euros
0,Shinji Kagawa,13.0
1,Maya Yoshida,7.0
2,Shinji Okazaki,6.0
3,Hiroki Sakai,6.0
4,Yoshinori Muto,6.0
5,Takashi Inui,5.0
6,Yuya Osako,4.5
7,Keisuke Honda,4.0
8,Yuto Nagatomo,3.5
9,Gaku Shibasaki,1.8
10,Genki Haraguchi,1.75
11,Gen Shoji,1.7
12,Tomoaki Makino,1.65
13,Gotoku Sakai,1.5
14,Hotaru Yamaguchi,1.5
15,Kosuke Nakamura,1.5
16,Wataru Endo,1.45
17,Masaaki Higashiguchi,1.25
18,Ryota Oshima,1.15
19,Naomichi Ueda,1.1
20,Makoto Hasebe,1.0
21,Takashi Usami,0.8
22,Eiji Kawashima,0.25
