,film,Box office gross in million U.S. dollars
0,Star Wars: The Last Jedi,1332.4
1,Beauty and the Beast,1263.5
2,The Fate of the Furious,1236.0
3,Despicable Me 3,1034.8
4,Jumanji: Welcome to the Jungle,957.7
5,Spider-Man: Homecoming,880.2
6,Wolf Warrior 2,870.3
7,Guardians of the Galaxy Vol. 2,863.8
8,Thor: Ragnarok,854.0
9,Wonder Woman,821.8
10,Coco,800.5
11,Pirates of the Caribbean: Dead Men Tell No Tales,794.9
12,It,700.4
13,Justice League,657.9
14,Logan,619.0
15,Transformers: The Last Knight,605.4
16,Kong: Skull Island,566.7
17,The Boss Baby,528.0
18,Dunkirk,525.2
19,War for the Planet of the Apes,490.7
