, Highest-valued unicorns that were founded in Israel,Valuation in billion U.S. dollars
0,"Tanium (Enterprise software, Silicon Valley)",6.7
1,"COMPASS (e-commerce, New York)",6.4
2,"Houzz (Internet, Silicon Valley)",4.0
3,"TripActions (Internet, Silicon Valley)",4.0
4,"Gusto (B2B/enterprise software, Silicon Valley)",3.8
5,"wework (Coworking, New York)",2.9
6,"monday.com (B2B/enterprise software, Israel)",2.7
7,"Via (Software / Transportation, New York)",2.25
8,"Taboola / Outbrain (Advertising, New York)",2.0
9,"Avant (FinTech, Chicago)",2.0
10,"Lemonade (Insurance, Israel)",2.0
11,"Landa (Digital printing, Israel)",1.8
12,"WalkMe (B2B software, Silicon Valley)",1.8
13,"INFINIDAT (Data storage, Israel)",1.6
14,"AppsFlyer (Advertising, Israel)",1.6
15,"Payoneer (Financial Services, New York)",1.5
16,"Gett (Transportation, Israel)",1.5
17,"ironSource (Digital advertising, Israel)",1.5
18,"Insightec (Healthcare, Israel)",1.3
19,"Infi (FinTech, Israel)",1.25
20,"Moon Active (Gaming, Israel)",1.25
21,"Rapyd (FinTech, London)",1.2
22,"VAST Data (Data storage / software, New York)",1.2
23,"TangoMe (Communications, Silicon Valley)",1.1
24,"Trax (B2B software, Singapore)",1.1
25,"SentinentalOne (Cyber security, Silicon Valley)",1.1
