,province of China,Sex ratio by region (female = 100)
0,Tianjin,123.17
1,Guangdong,118.05
2,Shanghai,107.86
3,Zhejiang,107.64
4,Fujian,107.51
5,Guizhou,107.42
6,Guangxi,106.98
7,Qinghai,106.91
8,Inner Mongolia,106.68
9,Hainan,106.34
10,Ningxia,105.95
11,National average,104.46
12,Jiangxi,104.29
13,Hebei,104.26
14,Yunnan,104.14
15,Hunan,103.88
16,Jiangsu,103.38
17,Shaanxi,103.0
18,Heilongjiang,102.77
19,Shanxi,102.32
20,Gansu,102.19
21,Anhui,102.13
22,Henan,102.03
23,Jilin,101.94
24,Shandong,101.92
25,Xinjiang,101.73
26,Beijing,101.56
27,Hubei,101.45
28,Liaoning,100.71
29,Tibet,100.31
30,Chongqing,100.17
31,Sichuan,96.73
