,Year,Export volume in billion U.S. dollars
0,2019,162.57
1,2018,164.21
2,2017,150.37
3,2016,135.92
4,2015,152.58
5,2014,183.85
6,2013,184.42
7,2012,183.18
8,2011,169.01
9,2010,138.58
10,2009,109.55
11,2008,136.95
12,2007,106.78
13,2006,88.38
14,2005,72.32
15,2004,61.38
16,2003,51.95
17,2002,51.55
18,2001,58.16
19,2000,59.28
20,1999,55.15
21,1998,63.39
22,1997,63.02
23,1996,52.6
24,1995,49.99
25,1994,41.71
26,1993,36.84
27,1992,35.21
28,1991,28.05
29,1990,23.51
30,1989,22.02
31,1988,21.5
32,1987,19.1
33,1986,17.61
34,1985,16.17
