,Country: Movie title,Number of viewers in thousands
0,Argentina : La odisea de los giles,1741.24
1,Bolivia : No manches Frida 2,33.93
2,Brazil : Nada a perder - Parte 2,6136.97
3,Chile: Mi amigo Alexis,144.67
4,Colombia : El paseo 5,458.87
5,Costa Rica: Maikol Yordan 2,85.14
6,Ecuador: Rock N' Cola,300.12
7,El Salvador : El parque mágico,19.47
8,Guatemala : El parque mágico,21.94
9,Honduras : Taxi VIP,44.43
10,Mexico : No manches Frida 2,6651.11
11,Nicaragua: Nada a perder - Parte 2,9.37
12,Panama : Locos Al Poder,45.61
13,Paraguay : Morgue,59.22
14,Peru : Once machos 2,655.47
15,Uruguay : La odisea de los giles,115.31
