,Response,Share of total consumption
0,Malta,1.4%
1,Austria,2.6%
2,Germany (until 1990 former territory of the FRG),2.6%
3,Netherlands*,2.3%
4,Italy,2.2%
5,United Kingdom,1.4%
6,Sweden,2.2%
7,Denmark,2.2%
8,Lithuania,2.1%
9,Czechia,2%
10,Belgium,2.1%
11,Slovakia,1.8%
12,Finland,1.5%
13,France* * (2018 + 2019),1.4%
14,Estonia,1.6%
15,Poland,1.5%
16,Slovenia,1.6%
17,Portugal*,1.2%
18,Luxembourg *,1.4%
19,Bulgaria,1.6%
20,Ireland,1.2%
21,Latvia,1%
22,Hungary *,1.4%
23,Spain,1.1%
24,Cyprus*,9%
25,Romania*,0.7%
26,Greece*,0.2%
