,Year,Inflation rate compared to previous year
0,2024*,4%
1,2023*,4%
2,2022*,3.9%
3,2021*,3.8%
4,2020*,3.75%
5,2019*,3.6%
6,2018,3.54%
7,2017,3.52%
8,2016,2.67%
9,2015,0.63%
10,2014,4.09%
11,2013,6.6%
12,2012,9.1%
13,2011,18.67%
14,2010,9.21%
15,2009,6.72%
16,2008,23.12%
17,2007,8.35%
18,2006,7.5%
19,2005,8.39%
20,2004,7.89%
21,2003,3.3%
22,2002,4.08%
23,2001,-0.31%
24,2000,-1.77%
25,1999,4.11%
26,1998,8.11%
27,1997,3.1%
28,1996,5.59%
29,1995,16.93%
30,1994,9.49%
31,1993,8.38%
32,1992,37.71%
33,1991,81.82%
34,1990,36.03%
35,1989,95.77%
36,1988,374.35%
37,1987,360.36%
38,1986,453.54%
39,1985,91.6%
40,1984,64.9%
