,State,Percent change
0,Alabama,14.6%
1,Alaska,29.4%
2,Arizona,33.3%
3,Arkansas,15.5%
4,California,21.7%
5,Colorado,21.1%
6,Connecticut,13.8%
7,Delaware,21.1%
8,District of Columbia,1.1%
9,Florida,24.1%
10,Georgia,26.7%
11,Hawaii,20.7%
12,Idaho,22.2%
13,Illinois,13%
14,Indiana,18.2%
15,Iowa,10.6%
16,Kansas,12.7%
17,Kentucky,14.7%
18,Louisiana,19.6%
19,Maine,20.7%
20,Maryland,18.2%
21,Massachusetts,15.4%
22,Michigan,15.8%
23,Minnesota,21.2%
24,Mississippi,14%
25,Missouri,8.3%
26,Montana,22.7%
27,Nebraska,14.3%
28,Nevada,30.6%
29,New Hampshire,23.1%
30,New Jersey,10.5%
31,New Mexico,23.3%
32,New York,12.2%
33,North Carolina,16.7%
34,North Dakota,6.7%
35,Ohio,13.6%
36,Oklahoma,13.4%
37,Oregon,21.7%
38,Pennsylvania,14.3%
39,Rhode Island,12.5%
40,South Carolina,26.3%
41,South Dakota,11.1%
42,Tennessee,16.7%
43,Texas,22.5%
44,Utah,23.5%
45,Vermont,30.8%
46,Virginia,26.7%
47,Washington,16.7%
48,West Virginia,12.8%
49,Wisconsin,8.3%
50,Wyoming,30%
