,NBA Teams,Average player salary in million U.S. dollars
0,Oklahoma City Thunder,10.33
1,Golden State Warriors,10.29
2,Washington Wizards,10.04
3,Toronto Raptors,9.97
4,Houston Rockets,9.85
5,Miami Heat,9.26
6,Charlotte Hornets,8.59
7,Minnesota Timberwolves,8.51
8,Boston Celtics,8.44
9,Portland Trail Blazers,8.43
10,Cleveland Cavaliers,8.26
11,Memphis Grizzlies,8.02
12,San Antonio Spurs,7.88
13,Detroit Pistons,7.86
14,Utah Jazz,7.81
15,Denver Nuggets,7.76
16,New Orleans Pelicans,7.55
17,Los Angeles Clippers,7.47
18,Orlando Magic,7.38
19,Milwaukee Bucks,7.2
20,Chicago Bulls,6.95
21,Dallas Mavericks,6.88
22,Philadelphia 76ers,6.84
23,Indiana Pacers,6.77
24,Phoenix Suns,6.44
25,Los Angeles Lakers,6.32
26,New York Knicks,6.14
27,Brooklyn Nets,6.08
28,Sacramento Kings,5.64
29,Atlanta Hawks,5.22
