,Month,Market share
0,Sep 20,8.61%
1,Aug 20,12.43%
2,Jul 20,10.76%
3,Jun 20,9.37%
4,May 20,10.43%
5,Apr 20,7.08%
6,Mar 20,7.46%
7,Feb 20,10.63%
8,Jan 20,10.97%
9,Dec 19,10.09%
10,Nov 19,10.37%
11,Oct 19,11.69%
12,Sep 19,9.47%
13,Aug 19,11.63%
14,Jul 19,10.85%
15,Jun 19,9.87%
16,May 19,10.83%
17,Apr 19,11.22%
18,Mar 19,8.9%
19,Feb 19,12.68%
20,Jan 19,10.33%
21,Dec 18,11.45%
22,Nov 18,9.24%
23,Oct 18,10.95%
24,Sep 18,9.84%
25,Aug 18,11.91%
26,Jul 18,9.78%
27,Jun 18,9.51%
28,May 18,10.97%
29,Apr 18,11.98%
30,Mar 18,10.6%
31,Feb 18,14.91%
32,Jan 18,12.01%
33,Dec 17,10.19%
34,Nov 17,11.06%
35,Oct 17,12.38%
36,Sep 17,9.31%
37,Aug 17,12.08%
38,Jul 17,10.45%
39,Jun 17,11.13%
40,May 17,11.01%
41,Apr 17,10.64%
42,Mar 17,12.77%
43,Feb 17,11.92%
44,Jan 17,13.05%
45,Dec 16,11.65%
46,Nov 16,11.92%
47,Oct 16,11.88%
