,Country,Amount in millions euros
0,France,2172664
1,United Kingdom,1796472
2,Germany,1139333
3,Italy,713676
4,Sweden,393276
5,Switzerland,300053
6,Netherlands,295049
7,Belgium,273293
8,Denmark,242323
9,Finland,167522
10,Norway,153924
11,Ireland,114811
12,Austria,54742
13,Portugal,45048
14,Poland,21048
15,Lithuania,19345
16,Czechia,12943
17,Greece,10371
18,Hungary,5937
19,Slovakia,4410
20,Slovenia,3216
21,Croatia,3036
22,Malta,2998
23,Cyprus,1890
24,Turkey,1594
25,Bulgaria,734
26,Estonia,531
27,Latvia,196
