,Twitter Profiles,Twitter followers in millions
0,NBA*,26.49
1,Los Angeles Lakers,7.39
2,Golden State Warriors,5.63
3,Miami Heat,4.68
4,Chicago Bulls,4.09
5,San Antonio Spurs,3.32
6,Boston Celtics,3.21
7,Cleveland Cavaliers,3.16
8,Oklahoma City Thunder,2.55
9,Houston Rockets,2.54
10,New York Knicks,2.07
11,Orlando Magic,1.59
12,Toronto Raptors*,1.5
13,Dallas Mavericks,1.48
14,Philadelphia 76ers,1.46
15,Los Angeles Clippers,1.37
16,Atlanta Hawks,1.19
17,Portland Trailblazers,1.13
18,Indiana Pacers,1.11
19,Phoenix Suns,0.99
20,Sacramento Kings,0.96
21,Memphis Grizzlies,0.92
22,Brooklyn Nets,0.88
23,Charlotte Hornets,0.88
24,Milwaukee Bucks,0.87
25,Minnesota Timberwolves,0.85
26,Washington Wizards,0.85
27,Detroit Pistons,0.85
28,New Orleans Pelicans,0.8
29,Utah Jazz,0.79
30,Denver Nuggets,0.79
