,university,Times Higher Education Score
0,University of Oxford,95.6
1,Stanford University,94.9
2,Harvard University,94.8
3,California Institute of Technology,94.5
4,Massachusetts Institute of Technology,94.4
5,University of Cambridge,94.0
6,"University of California, Berkeley",92.2
7,Yale University,91.6
8,Princeton University,91.5
9,University of Chicago,90.3
10,Imperial College of London,89.4
11,Johns Hopkins University,89.2
12,University of Pennsylvania,88.9
13,ETH Zurich,87.9
14,"University of California, Los Angeles",87.1
15,UCL,86.9
16,Columbia University,86.8
17,University of Toronto,86.0
18,Cornell University,85.3
19,Duke University,84.8
20,Tsinghua University,84.8
21,University of Michigan - Ann Arbor,84.0
22,Peking University,83.9
23,Northwestern University,83.6
24,National University of Singapore,83.5
