,Player,Payroll in thousand U.S. dollars
0,Fredy Montero,968.0
1,Jon Erice Dominguez,752.36
2,Yordy Reyna,713.14
3,Hwang In-Beom,655.0
4,Lucas Venuto,600.0
5,Ali Adnan,547.33
6,Felipe Martins,500.0
7,Erik Godoy,449.32
8,Anthony Blondell,307.7
9,Joaquin Ardaiz,272.73
10,Doneil Henry,204.24
11,Andy Rose,192.5
12,Russell Teibert,190.0
13,Zac MacMath,190.0
14,Jasser Khmiri,180.0
15,Scott Sutter,170.18
16,Jake Nerwinski,124.13
17,"Victor ""PC"" Giro",112.44
18,Derek Cornelius,111.91
19,Alhassane Bangoura,100.0
20,Maxime Crepeau,94.08
21,Michael Baldisimo,83.01
22,Simon Colyn,81.25
23,Thelonius Bair,76.25
24,Brett Levis,74.16
25,Sean Melvin,70.25
26,Thomas Hasal,66.25
27,David Norman,58.23
28,Brendan McDonough,56.25
