,State,Per capita Real GDP in chained 2012 U.S. dollars
0,New York,73463
1,Massachusetts,73321
2,Alaska,71996
3,North Dakota,69563
4,California,68803
5,Connecticut,68555
6,Washington,67901
7,Wyoming,65843
8,Delaware,64895
9,New Jersey,62385
10,Maryland,61042
11,Illinois,60419
12,Colorado,59885
13,Texas,59674
14,Minnesota,59510
15,Nebraska,59178
16,Hawaii,58185
17,United States,56968
18,Virginia,56002
19,New Hampshire,55905
20,Pennsylvania,55580
21,Iowa,54520
22,Kansas,53094
23,South Dakota,52696
24,Wisconsin,51883
25,Ohio,51790
26,Oregon,51677
27,Louisiana,50938
28,Rhode Island,50718
29,Georgia,50288
30,Utah,50236
31,Oklahoma,49840
32,Nevada,49361
33,Indiana,49209
34,North Carolina,47896
35,Tennessee,47810
36,Vermont,47502
37,Michigan,47072
38,Missouri,46507
39,New Mexico,44671
40,Montana,43509
41,Arizona,43464
42,Florida,43423
43,Maine,42925
44,Kentucky,41898
45,South Carolina,40755
46,Alabama,40598
47,Idaho,40189
48,West Virginia,39584
49,Arkansas,38919
50,Mississippi,34434
