,Country,2018,2008
0,Hungary,65.09%,43.7%
1,Poland,51.18%,32.1%
2,Cyprus,35.38%,31.1%
3,Lithuania,32.83%,29.04%
4,Austria,26%,28.24%
5,Estonia,32.9%,26.1%
6,Bulgaria,32.65%,26%
7,Netherlands,22.2%,22.49%
8,Greece,54.6%,17%
9,Belgium,4.09%,16.02%
10,Denmark,21.1%,13.9%
11,France,27.09%,13.82%
12,Finland,24.78%,12.9%
13,Czechia,49.6%,12.81%
14,Slovakia,34.34%,11.7%
15,Germany,21.98%,10.3%
16,Sweden,18.58%,8.78%
17,Portugal,9.38%,8.34%
18,Italy,50.03%,8.3%
19,Ireland,17.7%,8.03%
20,Latvia,6.85%,7%
21,Slovenia,8.2%,5.4%
22,Spain,21.15%,3.77%
23,Romania,9.98%,3.15%
24,United Kingdom,1.8%,2.2%
25,Luxembourg,4.94%,1.9%
26,Croatia,6.49%,1.8%
