,Quarter,Revenues in million U.S. dollars
0,Q3 '20,451.48
1,Q2 '20,428.74
2,Q1 '20,228.06
3,Q4 '19,270.0
4,Q3 '19,197.95
5,Q2 '19,181.1
6,Q1 '19,169.34
7,Q4 '18,200.03
8,Q3 '18,150.37
9,Q2 '18,132.39
10,Q1 '18,120.91
11,Q4 '17,136.27
12,Q3 '17,106.38
13,Q2 '17,101.69
14,Q1 '17,96.89
15,Q4 '16,110.21
16,Q3 '16,87.56
17,Q2 '16,85.35
18,Q1 '16,81.85
19,Q4 '15,87.9
20,Q3 '15,65.7
21,Q2 '15,61.37
22,Q1 '15,58.54
23,Q4 '14,64.91
24,Q3 '14,47.63
25,Q2 '14,42.51
26,Q1 '14,40.54
27,Q4 '13,41.56
28,Q3 '13,29.96
29,Q2 '13,27.36
30,Q1 '13,26.14
