,ice hockey team,Franchise value in million U.S. dollars
0,New York Rangers,1650
1,Toronto Maple Leafs,1500
2,Montreal Canadiens,1340
3,Chicago Blackhawks,1085
4,Boston Bruins,1000
5,Los Angeles Kings,850
6,Philadelphia Flyers,825
7,Detroit Red Wings,800
8,Washington Capitals,775
9,Vancouver Canucks,740
10,Pittsburgh Penguins,665
11,Dallas Stars,600
12,Vegas Golden Knights,580
13,Edmonton Oilers,575
14,New Jersey Devils,550
15,San Jose Sharks,540
16,St. Louis Blues,530
17,New York Islanders,520
18,Minnesota Wild,510
19,Calgary Flames,500
20,Anaheim Ducks,480
21,Colorado Avalanche,475
22,Tampa Bay Lightning,470
23,Nashville Predators,460
24,Carolina Hurricanes,450
25,Ottawa Senators,445
26,Winnipeg Jets,420
27,Buffalo Sabres,400
28,Columbus Blue Jackets,325
29,Florida Panthers,310
30,Arizona Coyotes,300
