,Country,Number of cases
0,Lagos,31321
1,FCT,12083
2,Kaduna,5447
3,Plateau,4997
4,Oyo,4035
5,Rivers,3572
6,Edo,2888
7,Ogun,2552
8,Kano,2324
9,Delta,1888
10,Ondo,1843
11,Katsina,1636
12,Kwara,1414
13,Enugu,1382
14,Gombe,1338
15,Ebonyi,1097
16,Abia,1028
17,Bauchi,1020
18,Osun,1019
19,Nasarawa,898
20,Borno,796
21,Imo,766
22,Benue,532
23,Bayelsa,519
24,Akwa Ibom,437
25,Adamawa,424
26,Niger,417
27,Ekiti,415
28,Jigawa,407
29,Sokoto,380
30,Anambra,328
31,Taraba,217
32,Yobe,201
33,Kebbi,173
34,Cross River,169
35,Zamfara,112
36,Kogi,5
