,Teams,Franchise value in million U.S. dollars
0,New York Yankees,4600
1,Los Angeles Dodgers,3300
2,Boston Red Sox,3200
3,Chicago Cubs,3100
4,San Francisco Giants,3000
5,New York Mets,2300
6,St. Louis Cardinals,2100
7,Los Angeles Angels,1900
8,Philadelphia Phillies,1850
9,Houston Astros,1775
10,Washington Nationals,1750
11,Atlanta Braves,1700
12,Texas Rangers,1650
13,Chicago White Sox,1600
14,Seattle Mariners,1575
15,Toronto Blue Jays,1500
16,San Diego Padres,1350
17,Arizona Diamondbacks,1290
18,Baltimore Orioles,1280
19,Pittsburgh Pirates,1275
20,Detroit Tigers,1250
21,Colorado Rockies,1225
22,Minnesota Twins,1200
23,Milwaukee Brewers,1175
24,Cleveland Indians,1150
25,Oakland Athletics,1100
26,Cincinnati Reds,1050
27,Kansas City Royals,1025
28,Tampa Bay Rays,1010
29,Miami Marlins,1000
