,Quarter,Active registered accounts in millions
0,Q4 '19,305.0
1,Q3 '19,295.0
2,Q2 '19,286.0
3,Q1 '19,277.0
4,Q4 '18,267.0
5,Q3 '18,254.0
6,Q2 '18,244.0
7,Q1 '18,237.0
8,Q4 '17,229.0
9,Q3 '17,220.0
10,Q2 '17,212.0
11,Q1 '17,205.0
12,Q4 '16,197.0
13,Q3 '16,192.0
14,Q2 '16,188.0
15,Q1 '16,184.0
16,Q4 '15,179.0
17,Q3 '15,173.0
18,Q2 '15,169.0
19,Q1 '15,165.2
20,Q4 '14,161.5
21,Q3 '14,156.9
22,Q2 '14,152.5
23,Q1 '14,148.4
24,Q4 '13,142.6
25,Q3 '13,137.4
26,Q2 '13,132.4
27,Q1 '13,127.7
28,Q4 '12,122.7
29,Q3 '12,117.4
30,Q2 '12,113.2
31,Q1 '12,109.8
32,Q4 '11,106.3
33,Q3 '11,103.0
34,Q2 '11,100.3
35,Q1 '11,97.7
36,Q4 '10,94.4
37,Q3 '10,90.5
38,Q2 '10,87.2
39,Q1 '10,84.3
