,Month,Index points
0,Jan 3,3.7
1,Jan 2,3.7
2,Jan 1,3.8
3,Dec 31,3.2
4,Dec 30,2.3
5,Dec 29,2.0
6,Dec 28,2.0
7,Dec 27,2.9
8,Dec 26,2.4
9,Dec 25,2.0
10,Dec 24,2.0
11,Dec 23,2.1
12,Dec 22,2.0
13,Dec 21,1.9
14,Dec 20,3.1
15,Dec 19,2.5
16,Dec 18,1.9
17,Dec 17,2.0
18,Dec 16,2.1
19,Dec 15,2.0
20,Dec 14,2.0
21,Dec 13,3.1
22,Dec 12,2.5
23,Dec 11,2.0
24,Dec 10,2.1
25,Dec 9,2.1
26,Dec 8,2.1
27,Dec 7,2.1
28,Dec 6,3.2
29,Dec 5,2.6
30,Dec 4,2.2
31,Dec 3,2.2
32,Dec 2,2.2
33,Dec 1,2.2
34,Nov 30,2.3
35,Nov 29,3.3
36,Nov 28,2.7
37,Nov 27,2.2
38,Nov 26,2.3
39,Nov 25,2.3
40,Nov 24,2.3
41,Nov 23,2.3
42,Nov 22,3.3
43,Nov 21,2.9
44,Nov 20,2.4
45,Nov 19,2.4
46,Nov 18,2.4
47,Nov 17,2.4
48,Nov 16,2.4
49,Nov 15,3.3
50,Nov 14,2.9
51,Nov 13,2.5
52,Nov 12,2.6
53,Nov 11,2.6
54,Nov 10,2.7
55,Nov 9,2.4
56,Nov 8,3.3
57,Nov 7,2.9
58,Nov 6,2.6
59,Nov 5,2.5
60,Nov 4,2.5
61,Nov 3,2.5
62,Nov 2,2.5
63,Nov 1,3.4
64,Oct 31,2.9
65,Oct 30,2.5
66,Oct 29,2.5
67,Oct 28,2.5
68,Oct 27,2.5
69,Oct 26,2.5
70,Oct 25,3.4
71,Oct 24,2.9
72,Oct 23,2.4
73,Oct 22,2.5
74,Oct 21,2.4
75,Oct 20,2.4
76,Oct 19,2.4
77,Oct 18,3.3
78,Oct 17,2.8
79,Oct 16,2.3
80,Oct 15,2.3
81,Oct 14,2.2
82,Oct 13,2.1
83,Oct 12,2.1
84,Oct 11,3.2
85,Oct 10,2.6
86,Oct 9,2.1
87,Oct 8,2.1
88,Oct 7,2.1
89,Oct 6,2.2
90,Oct 5,2.1
91,Oct 4,3.3
92,Oct 3,2.6
93,Oct 2,2.1
94,Oct 1,2.0
95,Sept 30,1.9
96,Sept 29,1.8
97,Sept 28,1.8
98,Sept 27,2.9
99,Sept 26,2.3
100,Sept 25,1.7
101,Sept 24,1.7
102,Sept 23,1.6
103,Sept 22,1.5
104,Sept 21,2.5
105,Sept 20,2.9
106,Sept 19,2.3
107,Sept 18,1.7
108,Sept 17,1.7
109,Sept 16,1.7
110,Sept 15,1.6
111,Sept 14,1.8
112,Sept 13,2.8
113,Sept 12,2.3
114,Sept 11,1.8
115,Sept 10,1.9
116,Sept 9,1.8
117,Sept 8,1.8
118,Sept 7,1.8
119,Sept 6,3.0
120,Sept 5,2.4
121,Sept 4,1.8
122,Sept 3,1.9
123,Sept 2,1.8
124,Sept 1,1.8
125,Aug 31,1.8
126,Aug 30,3.0
127,Aug 29,2.4
128,Aug 28,1.9
129,Aug 27,1.9
130,Aug 26,1.9
131,Aug 25,1.9
132,Aug 24,1.8
133,Aug 23,3.1
134,Aug 22,2.5
135,Aug 21,2.0
136,Aug 20,2.0
137,Aug 19,1.9
138,Aug 18,1.9
139,Aug 17,1.9
140,Aug 15,2.3
141,Ag 13,2.0
142,Aug 11,2.0
143,Aug 9,3.0
144,Aug 7,2.0
145,Aug 5,2.0
146,Aug 3,2.0
147,Aug 1,2.5
148,Jul 31,2.1
149,Jul 30,2.1
150,Jul 29,2.1
151,Jul 28,2.0
152,Jul 27,2.0
153,Jul 26,3.2
154,Jul 25,2.6
155,Jul 24,2.0
156,Jul 23,2.1
157,Jul 22,2.1
158,Jul 21,2.1
159,Jul 20,2.1
160,Jul 19,3.5
161,Jul 18,2.6
162,Jul 17,2.1
163,Jul 16,2.1
164,Jul 15,2.2
165,Jul 14,2.0
