,State,Average debt in U.S. dollars
0,New Hampshire,39410
1,Pennsylvania,39027
2,Connecticut,38546
3,Rhode Island,37614
4,Delaware,37447
5,Maine,33591
6,New Jersey,33566
7,Massachusetts,33256
8,North Dakota,32745
9,District of Columbia,32039
10,Minnesota,31856
11,South Dakota,31653
12,Mississippi,31651
13,Wisconsin,31550
14,South Carolina,31524
15,New York,31155
16,Michigan,30677
17,Virginia,30574
18,Vermont,30566
19,Maryland,30303
20,Iowa,30259
21,Ohio,29886
22,Alabama,29791
23,Illinois,29666
24,West Virginia,29272
25,Missouri,28740
26,Kentucky,28482
27,Indiana,28112
28,Georgia,28081
29,Oregon,27542
30,Tennessee,27525
31,Montana,27265
32,Texas,26951
33,Kansas,26788
34,Arkansas,26679
35,North Carolina,26583
36,Colorado,26562
37,Nebraska,26026
38,Idaho,25942
39,Alaska,25925
40,Oklahoma,25793
41,Louisiana,25512
42,Arizona,24712
43,Washington,24645
44,Florida,24629
45,Hawaii,23577
46,Wyoming,23444
47,California,21485
48,Nevada,21254
49,New Mexico,20991
50,Utah,17935
