,amusement park,Change in attendance
0,"OCT Happy Valley, Beijing, China",29.6%
1,"OCT Happy Valley, Shanghai, China",21.1%
2,"OCT Happy Valley Chengdu, China",15.5%
3,"Everland, South Korea",12.9%
4,"Chimelong Ocean Kingdom, China",8.4%
5,"China Dinosaur Park, Changzhou, China",8%
6,"Chimelong Paradise, China",4.8%
7,"Universal Studios, Singapore",2.3%
8,"OCT Happy Valley, Shenzhen, China",1.8%
9,"Universal Studios, Japan",1.4%
10,"Zhengzhou Fantawild Adventure, China",1.1%
11,"Nagashima Spa Land, Japan",0.5%
12,"OCT Window of the World, Shenzen, China",0%
13,"Tokyo Disney Sea, Japan",0%
14,"Tokyo Disneyland, Japan",0%
15,"Lotte World, South Korea",-0.1%
16,"Ocean Park, Hong Kong",-1.7%
17,"Ningbo Fantawild Oriental Heritage, China",-4.4%
18,"Shanghai Disneyland, China",-5%
19,"Hong Kong Disneyland, Hong Kong",-15%
