,"Project title (city, state)",Project value in million U.S. dollars
0,"Jacksonville Jaguars Lot(Jacksonville, FL)",2000
1,"North Carolina Football Club MLS Soccer Stadium Complex (Buffalo, NY)",1900
2,"Greater Buffalo Sports and Entertainment Complex(Buffalo, NY)",1400
3,"Baltimore Street Arena(Baltimore, MD)",1000
4,"National Western Center(Denver, CO)",1000
5,"Beckham's Miami Freedom Park - United MLS Stadium(Miami, FL)",1000
6,"Ronkonkoma Sports Arena (Ronkonkoma, NY)",1000
7,"Keyarena Renovation (Seattle, WA)",850
8,"TEGA Gymnastics Facility/TEGA's Kid's Superplex (Lubbock, TX)",700
9,"Oakland A's Waterfront Ballpark at Howard Terminal (Oakland, CA)",623
