,Country,Annual average growth
0,Finland,0.1%
1,Greece,0.2%
2,Netherlands,0.5%
3,Luxembourg,0.7%
4,France,0.8%
5,Italy,0.8%
6,Slovak Republic,0.8%
7,Austria,1%
8,Belgium,1.1%
9,Mexico,1.1%
10,United Kingdom,1.5%
11,Canada,1.6%
12,Sweden,1.7%
13,Japan,1.8%
14,Slovenia,1.9%
15,Australia,1.9%
16,New Zealand,1.9%
17,Ireland,1.9%
18,Denmark,2.1%
19,Switzerland,2.1%
20,Norway,2.1%
21,Spain,2.3%
22,Germany,2.5%
23,Israel,2.6%
24,Turkey,2.7%
25,United States,2.8%
26,Portugal,2.8%
27,Czech Republic,2.8%
28,Hungary,3%
29,Iceland,4%
30,Poland,4.3%
31,Estonia,5.2%
32,Chile,5.2%
33,Latvia,6.2%
34,Lithuania,6.7%
35,South Korea,7.3%
