,Year,United States,Worldwide
0,2018,11314705,95706293
1,2017,11189985,96746802
2,2016,12180301,95057929
3,2015,12105988,90843939
4,2014,11660699,89747430
5,2013,11066432,87507027
6,2012,10332626,84208200
7,2011,8661535,79880028
8,2010,7762544,77629127
9,2009,5731397,61791868
10,2008,8693541,70520493
11,2007,10780729,73266061
12,2006,11263986,69222975
13,2005,11946653,66482439
14,2004,11989387,64496220
15,2003,12114971,60663225
16,2002,12279582,58994318
17,2001,11424689,56304925
18,2000,12799857,58374162
19,1999,13024978,56258892
