,municipality of Italy,Percentage change in number of deaths
0,Ostana  (Cuneo),900%
1,Cassiglio  (Bergamo),900%
2,Derovere  (Cremona),900%
3,Bionaz  (Aosta Valley),500%
4,Nasino  (Savona),483.3%
5,Torlino Vimercati  (Cremona),483.3%
6,Baldissero d'Alba  (Cuneo),471.4%
7,Isolabella  (Turin),400%
8,Roascio  (Cuneo),400%
9,Valsavarenche  (Aosta Valley),400%
10,Armo  (Imperia),400%
11,Masciago Primo  (Varese),400%
12,Tenna  (Trento),400%
13,Polino  (Terni),400%
14,Carapelle Calvisio  (L'Aquila),400%
15,Torre Beretti e Castellaro  (Pavia),350%
16,Valeggio  (Pavia),316.7%
17,Montello  (Bergamo),304.8%
18,Moransengo  (Asti),300%
19,Olmeneta  (Cremona),300%
20,Berzo San Fermo  (Bergamo),294.7%
