,baseball team,Ticket price in U.S. dollars
0,Boston Red Sox,167
1,New York Yankees,145
2,Los Angeles Dodgers,108
3,Washington Nationals,102
4,St. Louis Cardinals,101
5,Chicago Cubs,93
6,Cleveland Indians,92
7,Chicago White Sox,81
8,Philadelphia Phillies,75
9,Houston Astros,73
10,Oakland Athletics,73
11,Minnesota Twins,73
12,Kansas City Royals,72
13,Toronto Blue Jays**,70
14,Arizona Diamondbacks,69
15,Texas Rangers,68
16,Milwaukee Brewers,68
17,Colorado Rockies,65
18,New York Mets,64
19,Seattle Mariners,64
20,Los Angeles Angels,63
21,San Francisco Giants,62
22,Pittsburgh Pirates,58
23,Atlanta Braves,58
24,San Diego Padres,58
25,Miami Marlins,57
26,Tampa Bay Rays,56
27,Cincinnati Reds,55
28,Detroit Tigers,53
29,Baltimore Orioles,52
