,ice hockey team,Beer price in U.S. dollars
0,New York Rangers (24),10.5
1,New York Islanders (16),9.75
2,Minnesota Wild (20),9.5
3,St. Louis Blues (20),9
4,Los Angeles Kings (20),8.5
5,New Jersey Devils (16),8.5
6,Philadelphia Flyers (20),8.5
7,Boston Bruins (16),8.5
8,Anaheim Ducks (16),8.25
9,Florida Panthers (16),8
10,Chicago Blackhawks (16),8
11,Washington Capitals (24),8
12,Buffalo Sabres (20),8
13,Vancouver Canucks (16),7.58
14,NHL average (16),7.45
15,Winnipeg Jets (12),7.36
16,Calgary Flames (18),7.01
17,Nashville Predators (12),6.75
18,Colorado Avalanche (12),6.75
19,Detroit Red Wings (16),6.5
20,Carolina Hurricanes (16),6.5
21,Toronto Maple Leafs (16),6.47
22,Edmonton Oilers (12),6.25
23,San Jose Sharks (16),6.25
24,Montreal Canadians (14),6.01
25,Dallas Stars (16),6
26,Tampa Bay Lightning (12),5.5
27,Columbus Blue Jackets (12),5.5
28,Ottawa Senators (14),5.35
29,Pittsburgh Pinguins (12),5.25
30,Phoenix Coyotes (16)**,-
