,Month,Number of recoveries
0,"Jan 5, 2021",1536129
1,"Jan 4, 2021",1520106
2,"Jan 3, 2021",1503900
3,"Jan 2, 2021",1489154
4,"Jan 1, 2021",1479988
5,"Dec 31, 2020",1463111
6,"Dec 30, 2020",1445690
7,"Dec 29, 2020",1425730
8,"Dec 28, 2020",1408686
9,"Dec 27, 2020",1394011
10,"Dec 26, 2020",1386213
11,"Dec 25, 2020",1377109
12,"Dec 24, 2020",1344785
13,"Dec 23, 2020",1322067
14,"Dec 22, 2020",1301573
15,"Dec 21, 2020",1281258
16,"Dec 20, 2020",1261626
17,"Dec 19, 2020",1249470
18,"Dec 18, 2020",1226086
19,"Dec 17, 2020",1203814
20,"Dec 16, 2020",1175901
21,"Dec 15, 2020",1141406
22,"Dec 14, 2020",1115617
23,"Dec 13, 2020",1093161
24,"Dec 12, 2020",1076891
25,"Dec 11, 2020",1052163
26,"Dec 10, 2020",1027994
27,"Dec 9, 2020",997895
28,"Dec 8, 2020",958629
29,"Dec 7, 2020",933132
30,"Dec 6, 2020",913494
31,"Dec 5, 2020",896308
32,"Dec 4, 2020",872385
33,"Dec 3, 2020",846809
34,"Dec 2, 2020",823335
35,"Dec 1, 2020",784595
36,"Nov 30, 2020",757507
37,"Nov 29, 2020",734503
38,"Nov 28, 2020",720861
39,"Nov 27, 2020",696647
40,"Nov 26, 2020",661180
41,"Nov 25, 2020",637149
42,"Nov 24, 2020",605330
43,"Nov 23, 2020",584493
44,"Nov 22, 2020",553098
45,"Nov 21, 2020",539524
46,"Nov 20, 2020",520022
47,"Nov 19, 2020",498987
48,"Nov 18, 2020",481967
49,"Nov 17, 2020",457798
50,"Nov 16, 2020",442364
51,"Nov 15, 2020",420810
52,"Nov 14, 2020",411434
53,"Nov 13, 2020",399238
54,"Nov 12, 2020",387758
55,"Nov 11, 2020",372113
56,"Nov 10, 2020",363023
57,"Nov 9, 2020",345289
58,"Nov 8, 2020",335074
59,"Nov 7, 2020",328891
60,"Nov 6, 2020",322925
61,"Nov 5, 2020",312339
62,"Nov 4, 2020",307378
63,"Nov 3, 2020",302275
64,"Nov 2, 2020",296017
65,"Nov 1, 2020",292380
66,"Oct 31, 2020",289426
67,"Oct 30, 2020",283567
68,"Oct 29, 2020",279282
69,"Oct 28, 2020",275404
