,Theme Park,Attendance in millions
0,"Tokyo Disneyland, Japan",17.91
1,"Tokyo Disney Sea, Japan",14.65
2,"Universal Studios, Japan",14.3
3,"Shanghai Disneyland, China",11.8
4,Chimelong Ocean Kingdom,10.83
5,"Hong Kong Disneyland, Hong Kong S.A.R",6.7
6,"Lotte World, South Korea",5.96
7,"Nagashima Spa Land, Japan",5.92
8,"Everland, South Korea",5.85
9,"Ocean Park, Hong Kong S.A.R.",5.8
10,"Chimelong Paradise, China",4.68
11,Universal Studios Singapore,4.4
12,Changzhou China Dinosaurs Park,4.11
13,"OCT Window of the World, Shenzen",3.99
14,"OCT Happy Valley Beijing, China",3.98
15,"OCT Happy Valley Shenzhen, China",3.91
16,"Zhengzhou Fantawild Adventure, China",3.8
17,"Ningbo Fantawild Oriental Heritage, China",3.74
18,"OCT East, China",3.68
19,"OCT Happy Valley Chengdu, China",3.1
