,Response,Percentage of children enrolled
0,District of Columbia,79%
1,Vermont,72%
2,Oklahoma,40%
3,Florida,37%
4,Wisconsin,36%
5,Iowa,34%
6,West Virginia,33%
7,Georgia,30%
8,Texas,29%
9,New York,28%
10,Illinois,26%
11,New Jersey,25%
12,California,25%
13,Arkansas,25%
14,Nebraska,24%
15,South Carolina,24%
16,Massachusetts,23%
17,New Mexico,22%
18,Maine,22%
19,Maryland,22%
20,Connecticut,20%
21,United States,20%
22,Kentucky,19%
23,Colorado,16%
24,Michigan,16%
25,Alabama,16%
26,Louisiana,15%
27,Pennsylvania,15%
28,Kansas,14%
29,North Carolina,12%
30,Tennessee,11%
31,Oregon,10%
32,Virginia,9%
33,Washington,7%
34,Alaska,6%
35,Minnesota,6%
36,Ohio,6%
37,Rhode Island,5%
38,North Dakota,5%
39,Delaware,4%
40,Missouri,4%
41,Nevada,3%
42,Mississippi,3%
43,Arizona,3%
44,Hawaii,1%
45,Montana,1%
46,Guam,1%
