,state of Mexico,Number of cases
0,Mexico City,297345
1,State of Mexico,135837
2,Nuevo Leon,78362
3,Guanajuato,77557
4,Sonora,49063
5,Jalisco,48726
6,Coahuila,47132
7,Puebla,44549
8,Veracruz,42156
9,Tabasco,42112
10,San Luis Potosi,38649
11,Tamaulipas,38271
12,Chihuahua,35278
13,Baja California,31807
14,Michoacan,31779
15,Queretaro,29527
16,Oaxaca,27182
17,Sinaloa,26044
18,Yucatan,26026
19,Guerrero,25424
20,Durango,24301
21,Hidalgo,22841
22,Zacatecas,20168
23,Baja California Sur,16561
24,Aguascalientes,16238
25,Quintana Roo,15467
26,Tlaxcala,10415
27,Morelos,9050
28,Colima,7685
29,Nayarit,7672
30,Chiapas,7480
31,Campeche,7118
