,State,Age in years
0,Alabama,39.3
1,Alaska,34.9
2,Arizona,38.0
3,Arkansas,38.1
4,California,36.7
5,Colorado,36.9
6,Connecticut,41.1
7,Delaware,41.1
8,District of Columbia,33.9
9,Florida,42.2
10,Georgia,36.8
11,Hawaii,39.3
12,Idaho,36.8
13,Illinois,38.3
14,Indiana,37.8
15,Iowa,38.1
16,Kansas,37.1
17,Kentucky,39.1
18,Louisiana,37.3
19,Maine,45.1
20,Maryland,38.8
21,Massachusetts,39.5
22,Michigan,39.8
23,Minnesota,38.2
24,Mississippi,37.7
25,Missouri,38.8
26,Montana,40.1
27,Nebraska,36.7
28,Nevada,38.2
29,New Hampshire,43.1
30,New Jersey,40.0
31,New Mexico,38.1
32,New York,39.0
33,North Carolina,38.9
34,North Dakota,35.4
35,Ohio,39.5
36,Oklahoma,36.7
37,Oregon,39.6
38,Pennsylvania,40.8
39,Puerto Rico,42.9
40,Rhode Island,40.0
41,South Carolina,39.7
42,South Dakota,37.2
43,Tennessee,38.9
44,Texas,34.9
45,Utah,31.0
46,Vermont,43.1
47,Virginia,38.3
48,Washington,37.7
49,West Virginia,42.8
50,Wisconsin,39.6
51,Wyoming,38.5
