,Year,Gross domestic product per capita U.S. dollars
0,2024*,98276.19
1,2023*,95121.59
2,2022*,92190.42
3,2021*,89370.25
4,2020*,86673.5
5,2019*,83716.81
6,2018*,83161.9
7,2017,80763.57
8,2016,80629.21
9,2015,82511.34
10,2014,87159.83
11,2013,85675.76
12,2012,83958.55
13,2011,88903.38
14,2010,74884.83
15,2009,70321.9
16,2008,72941.18
17,2007,63959.84
18,2006,57801.08
19,2005,55115.31
20,2004,53446.73
21,2003,48284.64
22,2002,41554.55
23,2001,38715.76
24,2000,37993.8
25,1999,40642.24
26,1998,41547.91
27,1997,40469.55
28,1996,46764.51
29,1995,48833.74
30,1994,41996.76
31,1993,38242.33
32,1992,39686.86
33,1991,38655.81
34,1990,38660.03
35,1989,30545.68
36,1988,31881.4
37,1987,29646.52
38,1986,23816.31
39,1985,16694.34
40,1984,16532.26
