,Response,Percentage of female-headed households
0,"Brownsville-Harlingen, TX",22.08%
1,"McAllen-Edinburg-Mission, TX",21.65%
2,"Laredo, TX",20.31%
3,"Florence, SC",19.77%
4,"Alexandria, LA",19.59%
5,"El Paso, TX",19.26%
6,"El Centro, CA",19.12%
7,"Albany, GA",19.1%
8,"Merced, CA",18.97%
9,"Lake Charles, LA",18.94%
10,"Houma-Thibodaux, LA",18.75%
11,"Vineland-Bridgeton, NJ",18.46%
12,"Jackson, MS",18.37%
13,"Shreveport-Bossier City, LA",18.23%
14,"Pine Bluff, AR",18.21%
15,"Montgomery, AL",18.11%
16,"Farmington, NM",18.08%
17,"Rocky Mount, NC",18.07%
18,"Memphis, TN-MS-AR",17.82%
19,"Texarkana, TX-AR",17.81%
20,"Sumter, SC",17.61%
21,"Monroe, LA",17.55%
22,"Fresno, CA",17.38%
23,"Macon-Bibb County, GA",17.25%
24,"Augusta-Richmond County, GA-SC",17.01%
25,"Visalia, CA",17%
26,"Corpus Christi, TX",16.79%
27,"Hanford-Corcoran, CA",16.57%
28,"Hammond, LA",16.57%
29,"Jonesboro, AR",16.3%
30,"Flint, MI",16.28%
31,"Yakima, WA",16.26%
32,"Columbus, GA-AL",16.26%
33,"Madera, CA",16.24%
34,"Bakersfield, CA",16.1%
35,"Springfield, OH",16.02%
36,"Valdosta, GA",15.94%
37,"Gulfport-Biloxi, MS",15.82%
38,"Las Cruces, NM",15.79%
39,"Odessa, TX",15.77%
40,"Tallahassee, FL",15.73%
41,"Goldsboro, NC",15.7%
42,"Hinesville, GA",15.62%
43,"Killeen-Temple, TX",15.49%
44,"Baton Rouge, LA",15.48%
45,"Greenville, NC",15.48%
46,"Yuma, AZ",15.42%
47,"Miami-Fort Lauderdale-Pompano Beach, FL",15.38%
48,"New Orleans-Metairie, LA",15.38%
49,"Savannah, GA",15.36%
