,City,"Birth rate (births per 1,000 population)"
0,"Hinesville, GA",20.36
1,"Jacksonville, NC",19.77
2,"Provo-Orem, UT",19.43
3,"Laredo, TX",18.22
4,"Logan, UT-ID",17.42
5,"Clarksville, TN-KY",17.05
6,"McAllen-Edinburg-Mission, TX",16.82
7,"Odessa, TX",16.73
8,"Watertown-Fort Drum, NY",16.63
9,"Midland, TX",16.46
10,"Idaho Falls, ID",16.16
11,"Fayetteville, NC",15.99
12,"Fairbanks, AK",15.96
13,"Killeen-Temple, TX",15.92
14,"El Centro, CA",15.68
15,"Ogden-Clearfield, UT",15.57
16,"Brownsville-Harlingen, TX",15.44
17,"Yakima, WA",15.38
18,"Visalia-Porterville, CA",14.96
19,"Bakersfield, CA",14.96
20,"Salt Lake City, UT",14.96
21,"Fresno, CA",14.9
22,"Elkhart-Goshen, IN",14.86
23,"Madera, CA",14.82
24,"Yuba City, CA",14.78
25,"El Paso, TX",14.74
26,"Merced, CA",14.71
27,"Hanford-Corcoran, CA",14.7
28,"Twin Falls, ID",14.68
29,"Kennewick-Richland, WA",14.66
30,"Sioux Falls, SD",14.49
31,"Enid, OK",14.48
32,"Hammond, LA",14.45
33,"Anchorage, AK",14.4
34,"Lake Charles, LA",14.38
35,"Fargo, ND-MN",14.3
36,"Grand Island, NE",14.2
37,"Houston-The Woodlands-Sugar Land, TX",14.15
38,"Greeley, CO",14.09
39,"Yuma, AZ",14.05
40,"Modesto, CA",14.04
41,"Omaha-Council Bluffs, NE-IA",14.02
42,"Lawton, OK",14.01
43,"Bismarck, ND",13.91
44,"Abilene, TX",13.89
45,"Grand Forks, ND-MN",13.87
46,"Sioux City, IA-NE-SD",13.86
47,"Salinas, CA",13.79
48,"Des Moines-West Des Moines, IA",13.77
49,"Fayetteville-Springdale-Rogers, AR-MO",13.73
